FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.29641,29641,POINT (16.32422114880184 48.16070964866484),6,,Am Schöpfwerk,,1995,4,
UBAHNHALTOGD.29642,29642,POINT (16.379122083065628 48.20681036769588),3,,Stubentor,,1991,4,
UBAHNHALTOGD.29643,29643,POINT (16.420691102610114 48.16964339638826),3,,Simmering,,2000,12,
UBAHNHALTOGD.29852,29852,POINT (16.32775613219581 48.18363914817048),4,,Meidling Hauptstraße,,1980,10,
UBAHNHALTOGD.29853,29853,POINT (16.364002858575464 48.22776116156406),4,,Friedensbrücke,,1976,5,
UBAHNHALTOGD.29854,29854,POINT (16.365802052402298 48.248445282606866),4,,Heiligenstadt,,1976,5,
UBAHNHALTOGD.29855,29855,POINT (16.334934637307875 48.18479565925479),6,,Längenfeldgasse,,1989,10,
UBAHNHALTOGD.29856,29856,POINT (16.309828901603677 48.13050962384552),6,,Siebenhirten,,1995,4,
UBAHNHALTOGD.29857,29857,POINT (16.368628058741223 48.2352110146506),6,,Jägerstraße,,1996,5,
UBAHNHALTOGD.29858,29858,POINT (16.31652241901975 48.14191596191681),6,,Erlaaer Straße,,1995,4,
UBAHNHALTOGD.29859,29859,POINT (16.400433632706356 48.25619849480844),6,,Floridsdorf,,1996,5,
UBAHNHALTOGD.29860,29860,POINT (16.50842865976273 48.22624801900081),2,,Seestadt,,2013,10,
UBAHNHALTOGD.29861,29861,POINT (16.44965347577755 48.21981126603835),2,,Stadlau,,2010,10,
UBAHNHALTOGD.29862,29862,POINT (16.485763277417767 48.23340358839814),2,,Hausfeldstraße,,2013,10,
UBAHNHALTOGD.29863,29863,POINT (16.47486240750215 48.222517844633146),2,,Aspernstraße,,2010,10,
UBAHNHALTOGD.29864,29864,POINT (16.46660288594625 48.21941300894245),2,,Donauspital,,2010,10,
UBAHNHALTOGD.29865,29865,POINT (16.45774072152675 48.22088997518054),2,,Hardeggasse,,2010,10,
UBAHNHALTOGD.29866,29866,POINT (16.440115933684876 48.2117625546898),2,,Donaustadtbrücke,,2010,10,
UBAHNHALTOGD.29867,29867,POINT (16.504484351293478 48.23450171821282),2,,Aspern Nord,,2013,10,
UBAHNHALTOGD.29868,29868,POINT (16.43160836423993 48.206459008304066),2,,Donaumarina,,2010,10,
UBAHNHALTOGD.29869,29869,POINT (16.420246194972812 48.210665371597),2,,Stadion,,2008,5,
UBAHNHALTOGD.29870,29870,POINT (16.413743042751616 48.214680225211275),2,,Krieau,,2008,5,
UBAHNHALTOGD.29871,29871,POINT (16.40495414486208 48.21778595486946),2,,Messe Prater,,2008,5,
UBAHNHALTOGD.29872,29872,POINT (16.355386269797734 48.21065296318722),2,,Rathaus,,1980,8,
UBAHNHALTOGD.29873,29873,POINT (16.370601600024916 48.20051518216661),2,,Karlsplatz,,1980,8,
UBAHNHALTOGD.29874,29874,POINT (16.45213042852381 48.27751149593485),1,,Leopoldau,,2006,9,
UBAHNHALTOGD.29875,29875,POINT (16.44787326477164 48.27100442952963),1,,Großfeldsiedlung,,2006,9,
UBAHNHALTOGD.29876,29876,POINT (16.42489219170066 48.23833181861175),1,,Alte Donau,,1982,9,
UBAHNHALTOGD.29877,29877,POINT (16.451616777584647 48.26341418167688),1,,Aderklaaer Straße,,2006,9,
UBAHNHALTOGD.29878,29878,POINT (16.385104762188192 48.21508541842047),1,,Nestroyplatz,,1981,2,
UBAHNHALTOGD.29879,29879,POINT (16.449632506237194 48.25759658027342),1,,Rennbahnweg,,2006,9,
UBAHNHALTOGD.29880,29880,POINT (16.41135109612752 48.229221559317196),1,,Donauinsel,,1982,9,
UBAHNHALTOGD.29881,29881,POINT (16.3736042714194 48.187140015301466),1,,Südtiroler Platz,,1973,8,
UBAHNHALTOGD.29882,29882,POINT (16.443247405985037 48.25021630984822),1,,Kagraner Platz,,2006,9,
UBAHNHALTOGD.29883,29883,POINT (16.432849129027403 48.242953020278996),1,,Kagran,,2006,9,
UBAHNHALTOGD.29884,29884,POINT (16.377896149296845 48.17498411750654),1,,Reumannplatz,,1978,2,
UBAHNHALTOGD.29885,29885,POINT (16.3113581854975 48.211053183817334),3,,Ottakring,,1998,12,
UBAHNHALTOGD.29886,29886,POINT (16.38235613278042 48.15362635538949),1,,Alaudagasse,U1 Süd,2017,9,
UBAHNHALTOGD.29887,29887,POINT (16.383220323712806 48.16194308178091),1,,Altes Landgut,U1 Süd,2017,9,
UBAHNHALTOGD.29888,29888,POINT (16.400421143052142 48.14218575918402),1,,Oberlaa,U1 Süd,2017,9,
UBAHNHALTOGD.29889,29889,POINT (16.380306978013557 48.16915695705356),1,,Troststraße,U1 Süd,2017,9,
UBAHNHALTOGD.29890,29890,POINT (16.386545307247548 48.14558371753979),1,,Neulaa,U1 Süd,2017,9,
UBAHNHALTOGD.29891,29891,POINT (16.341806580096193 48.21676899097122),6,,Alser Straße,,1989,10,
UBAHNHALTOGD.29892,29892,POINT (16.295795071712917 48.18940650800911),4,,Braunschweiggasse,,1981,12,
UBAHNHALTOGD.29893,29893,POINT (16.337184228767526 48.20335914040318),6,,Burggasse-Stadthalle,,1989,10,
UBAHNHALTOGD.29894,29894,POINT (16.414131488717327 48.19141917869626),3,,Erdberg,,2000,12,
UBAHNHALTOGD.29895,29895,POINT (16.412056767068105 48.180433364229614),3,,Zippererstraße,,2000,12,
UBAHNHALTOGD.29896,29896,POINT (16.33750273730527 48.19086209665469),6,,Gumpendorfer Straße,,1989,10,
UBAHNHALTOGD.29897,29897,POINT (16.380122184157734 48.23724949887222),6,,Dresdner Straße,,1996,5,
UBAHNHALTOGD.29898,29898,POINT (16.36540363871925 48.20933877936224),3,,Herrengasse,,1991,4,
UBAHNHALTOGD.29899,29899,POINT (16.30502255519202 48.18754080244399),4,,Hietzing,,1981,8,
UBAHNHALTOGD.29900,29900,POINT (16.32007145935853 48.197636332745375),3,,Johnstraße,,1994,9,
UBAHNHALTOGD.29901,29901,POINT (16.339152743701572 48.21154423722844),6,,Josefstädter Straße,,1989,10,
UBAHNHALTOGD.29902,29902,POINT (16.416487820597393 48.23285571105975),1,,Kaisermühlen-VIC,,1982,9,
UBAHNHALTOGD.29903,29903,POINT (16.399874003263374 48.197552665776115),3,,Kardinal-Nagl-Platz,,1991,4,
UBAHNHALTOGD.29904,29904,POINT (16.36867063645104 48.200455957730775),4,,Karlsplatz,,1978,8,
UBAHNHALTOGD.29905,29905,POINT (16.37617474522542 48.179186236916316),1,,Keplerplatz,,1978,2,
UBAHNHALTOGD.29906,29906,POINT (16.357967742931017 48.19660901246018),4,,Kettenbrückengasse,,1980,10,
UBAHNHALTOGD.29907,29907,POINT (16.352266364603853 48.199166570809865),3,,Neubaugasse,,1993,9,
UBAHNHALTOGD.29908,29908,POINT (16.383906929607083 48.206295029758564),3,,Landstraße / Wien Mitte (ÖBB),,1991,4,
UBAHNHALTOGD.29909,29909,POINT (16.36133597932078 48.20256656520191),2,,Museumsquartier,,1980,8,
UBAHNHALTOGD.29910,29910,POINT (16.34426831976529 48.22127508635545),6,,Michelbeuern-AKH,,1989,10,
UBAHNHALTOGD.29911,29911,POINT (16.33117146504783 48.18077041567251),6,,Niederhofstraße,,1995,4,
UBAHNHALTOGD.29912,29912,POINT (16.352427023330613 48.2313173727495),6,,Nußdorfer Straße,,1989,10,
